Nama,Gender,Tinggal_Dengan,Status_Kerja,Biaya,Tgl_Daftar_Kuliah,Alamat,UKM,Organisasi_Kampus,Lama_Kuliah,Fakultas,Jenis_Kelulusan
Abbey Butler,Pria,Kos,False,Beasiswa,2008,Tangerang,Kewirausahaan,True,3.5,DKV,Cepat
Abbey Carpenter,Wanita,Sendiri,False,Mandiri,2009,Bekasi,Seni,False,4.0,FIKOM,Tepat Waktu
Abbey Dubois,Wanita,Sendiri,True,Beasiswa,2008,Serang,Keilmuan,False,4.5,FIKOM,Telat
Abbey Gosling,Wanita,Orang Tua,False,Beasiswa,2009,Serang,Olahraga,False,5.5,DKV,Telat
Abbey Logan,Wanita,Orang Tua,True,Mandiri,2009,Bekasi,Tidak,True,6.5,DKV,Telat
Abbey Lunt,Pria,Kos,False,Mandiri,2007,Serang,Tidak,False,3.5,FISIP,Cepat
Abbey Mccormick,Wanita,Orang Tua,True,Beasiswa,2008,Bogor,Keilmuan,False,4.5,FIKOM,Telat
Abbey Morrow,Wanita,Orang Tua,False,Beasiswa,2009,Bogor,Kewirausahaan,False,5.0,FIKOM,Telat
Abbey Reading,Pria,Sendiri,False,Beasiswa,2008,Tangerang,Seni,False,5.0,FIKOM,Telat
Abbey Styles,Wanita,Orang Tua,False,Mandiri,2007,Bogor,Kewirausahaan,True,6.0,FTI,Telat
Abbey West,Pria,Kos,False,Orang Tua,2008,Bekasi,Tidak,True,5.0,FT,Telat
Abdul Andersson,Pria,Kos,True,Beasiswa,2009,Bogor,Kewirausahaan,True,5.0,FT,Telat
Abdul Bloom,Wanita,Orang Tua,False,Mandiri,2008,Jakarta,Tidak,False,5.5,DKV,Telat
Abdul Campbell,Wanita,Sendiri,False,Orang Tua,2009,Serang,Kewirausahaan,False,6.5,FIKOM,Telat
Abdul Carpenter,Pria,Kos,True,Beasiswa,2008,Serang,Seni,True,4.5,DKV,Telat
Abdul Clifton,Pria,Kos,True,Orang Tua,2008,Tangerang,Seni,False,3.5,DKV,Cepat
